ticker,Symbol,description,close,change,volume,type,is_dormant
EGX:RMDA,RMDA,Tenth of Ramadan Pharmaceutical Industries & Diagnostic-Rameda,4.71,1.072961373390554,264266398,stock,False
EGX:COMI,COMI,Commercial International Bank - Egypt (CIB) S.A.E.,122.0,-2.633679169992017,3472894,stock,False
EGX:AMOC,AMOC,Alexandria Mineral Oils Co.,9.12,2.702702702702685,42297837,stock,False
EGX:ABUK,ABUK,Abou Kir Fertilizers & Chemical Industries Co.,88.06,3.6000000000000023,3972641,stock,False
EGX:CCAP,CCAP,QALA For Financial Investments,3.69,1.0958904109589052,67227116,stock,False
EGX:MFPC,MFPC,Misr Fertilizers Production Company MOPCO,44.5,2.2753390025281592,5133142,stock,False
EGX:EGAL,EGAL,Egypt Aluminum,309.0,4.745762711864407,717143,stock,False
EGX:FWRY,FWRY,Fawry For Banking Technology And Electronic Payment,17.37,-0.1724137931034344,10339018,stock,False
EGX:TMGH,TMGH,Talaat Moustafa Group Holding,78.0,-2.439024390243906,2285054,stock,False
EGX:ORHD,ORHD,Orascom Development Egypt (S.A.E),25.69,1.0224144710971355,6333785,stock,False
EGX:VLMRA,VLMRA,Valmore Holding,31.7,3.9344262295081944,4985093,stock,False
EGX:HRHO,HRHO,EFG Holding S.A.E.,25.91,-2.5206922498118822,5194019,stock,False
EGX:ORAS,ORAS,Orascom Construction Plc,473.5,0.8090270385352377,273244,stock,False
EGX:GBCO,GBCO,GB Corp,25.26,-2.8087726048480066,5046989,stock,False
EGX:ISPH,ISPH,Ibnsina Pharma,10.5,-1.5932521087160256,10389153,stock,False
EGX:ETEL,ETEL,Telecom Egypt,84.65,-0.17688679245282013,1213684,stock,False
EGX:ALCN,ALCN,Alexandria Containers & Goods,31.7,2.2580645161290303,3144379,stock,False
EGX:RAYA,RAYA,Raya Holding for Financial Investments SAE,5.49,-4.188481675392674,17797053,stock,False
EGX:HELI,HELI,Heliopolis Housing,5.55,-1.0695187165775488,17125537,stock,False
EGX:SKPC,SKPC,Sidi Kerir Petrochemicals,18.15,-1.0899182561308056,5184535,stock,False
EGX:EGCH,EGCH,Egyptian Chemical Industries,12.29,-0.5663430420711997,6874279,stock,False
EGX:ADIB,ADIB,Abu Dhabi Islamic Bank-Egypt,39.05,-4.756097560975617,2108616,stock,False
EGX:BTFH,BTFH,Beltone Holding,2.92,-1.3513513513513526,26864479,stock,False
EGX:GOUR,GOUR,Gourmet Egypt.Com Foods,11.3,7.312440645773992,6614895,stock,False
EGX:CSAG,CSAG,Canal Shipping Agencies Co.,28.7,-1.6786570743405345,2546552,stock,False
EGX:MPCI,MPCI,Memphis Pharmaceutical & Chemical Industries,162.32,-3.2081097197376245,398310,stock,False
EGX:MASR,MASR,Madinet Masr for Housing & Development,5.58,-1.760563380281684,9866568,stock,False
EGX:ARAB,ARAB,Arab Developers Holding,0.222,-0.8928571428571437,227414904,stock,False
EGX:ZMID,ZMID,Zahraa Maadi Investment & Development,5.45,0.5535055350553552,8889108,stock,False
EGX:EALR,EALR,El Arabia for Land Reclamation,365.03,5.805797101449268,131978,stock,False
EGX:ISMQ,ISMQ,Iron & Steel for Mines & Quarries,7.22,-1.2311901504787943,6409652,stock,False
EGX:GGRN,GGRN,Gogreen for Agricultural Investment and Development Company,2.36,6.306306306306292,19077467,stock,False
EGX:ACAMD,ACAMD,Arab Co. for Asset Management & Development,2.0,-1.4778325123152616,22424156,stock,False
EGX:DSCW,DSCW,Dice Sports & Casual Wear Manufacturers SAE,1.81,-0.5494505494505499,23289627,stock,False
EGX:ENGC,ENGC,Industrial Engineering Co. for Construction & Development,33.0,0.7941356139279108,1230122,stock,False
EGX:ZEOT,ZEOT,Extracted Oils & Derivatives Co.,8.37,2.825552825552809,4651415,stock,False
EGX:PHDC,PHDC,Palm Hills Development Co.,8.68,-1.3636363636363749,4296821,stock,False
EGX:HDBK,HDBK,Housing & Development Bank,114.02,-0.9813287016934517,307132,stock,False
EGX:EFID,EFID,Edita Food Industries SAE,28.4,0.3533568904593564,1128020,stock,False
EGX:OIH,OIH,Orascom Investment Holding SAE,1.22,-0.8130081300813016,26214407,stock,False
EGX:EFIH,EFIH,e-finance for Digital and Financial Investments S.A.E.,18.95,-1.404786680541101,1668928,stock,False
EGX:MICH,MICH,Misr Chemical Industries Ltd.,35.5,-0.8379888268156346,861923,stock,False
EGX:JUFO,JUFO,Juhayna Food Industries,26.8,1.0939268200678955,1112358,stock,False
EGX:EFIC,EFIC,Egyptian Financial & Industrial Co.,218.8,-0.4368401892974061,128175,stock,False
EGX:EGS72XL1C014,EGS72XL1C014,Premium Healthcare Group,0.089,3.4883720930232593,310287590,stock,False
EGX:AMER,AMER,Amer Group Holding,1.84,-2.6455026455026363,14827979,stock,False
EGX:SIPC,SIPC,Sabaa International Company for Pharmaceutial and Chemical Industry,3.32,1.2195121951219523,8071577,stock,False
EGX:ARCC,ARCC,Arabian Cement Company,48.44,-1.1630279534788825,549702,stock,False
EGX:ATLC,ATLC,Al Tawfeek Leasing Company-A.T.LEASE,4.71,1.072961373390554,5650092,stock,False
EGX:AALR,AALR,General Co. for Land Reclamation Development & Reconstruction,168.0,1.1743450767840942,152121,stock,False
EGX:BINV,BINV,B Investments Holding SAE,40.2,0.8782936010037677,631379,stock,False
EGX:CIEB,CIEB,Credit Agricole Egypt,23.2,-0.42918454935622924,1014395,stock,False
EGX:SCEM,SCEM,Sinai Cement Co.,58.37,-1.2184802843120763,386763,stock,False
EGX:MTIE,MTIE,MM Group for Industry & International Trade,7.8,-1.7632241813602085,2757349,stock,False
EGX:UEGC,UEGC,El-Saeed Contracting & Real Estate Investment Co. SCCD,1.43,4.379562043795607,14205055,stock,False
EGX:OBRI,OBRI,El Obour Real Estate Investment,38.68,-2.0015201418799067,514577,stock,False
EGX:HBCO,HBCO,Heibco Npv,7.6,-1.1703511053316091,2574453,stock,False
EGX:KRDI,KRDI,Al Khair River for Development Agriculture Investment and Environmental Services,0.637,-0.46875000000000044,30309106,stock,False
EGX:WKOL,WKOL,Wadi Kom Ombo Land Reclamation,287.86,1.882919232675017,66315,stock,False
EGX:POUL,POUL,Cairo Poultry Co.,32.0,0.5340873389883811,585205,stock,False
EGX:ALUM,ALUM,Arab Aluminum Co. SAE,20.92,1.1605415860735107,887809,stock,False
EGX:EAST,EAST,Eastern Company,37.11,6.028571428571427,441025,stock,False
EGX:ETRS,ETRS,Egyptian Transport & Commercial Services Co. SAE,7.6,0.0,2097497,stock,False
EGX:OLFI,OLFI,Obour Land for Food Industries,21.4,0.0,737715,stock,False
EGX:MHOT,MHOT,Misr Hotels Co.,25.9,6.234618539786709,609288,stock,False
EGX:RACC,RACC,Raya Contact Center,8.6,-1.601830663615567,1807671,stock,False
EGX:PHAR,PHAR,Egyptian International Pharmaceutical Industries Co.,80.79,-0.9076413590089474,180061,stock,False
EGX:NIPH,NIPH,El-Nile Co. for Pharmaceuticals & Chemical Industries,96.91,-2.6519337016574593,142648,stock,False
EGX:MPCO,MPCO,Mansourah Poultry Co.,1.55,-0.6410256410256416,8888387,stock,False
EGX:ORWE,ORWE,Oriental Weavers Carpet,22.88,0.043725404459982554,577216,stock,False
EGX:LCSW,LCSW,Lecico Egypt SAE,24.15,-0.8620689655172449,536469,stock,False
